Data,Category,Model,Type,pval,Fmod,R2,padj
MAG,Ocean,Grade + Diet_Group + Genus + Ocean,sequential,0.0609,1.49657881099564,0.0464264071909688,0.06657
MAG,Genus,Genus + Ocean,margin,1e-04,4.34771388723944,0.290975609679771,0.000161538461538462
MAG,Ocean,Genus + Ocean,margin,0.0022,2.47681375570327,0.0828817639937437,0.00318620689655172
MAG,Diet_group,Diet_Group + Infraorder + Ocean,margin,1e-04,2.24648992489742,0.0923135277485542,0.000161538461538462
MAG,Infraorder,Diet_Group + Infraorder + Ocean,margin,1e-04,2.40655647906349,0.0494455185056381,0.000161538461538462
MAG,Ocean,Diet_Group + Infraorder + Ocean,margin,0.0042,1.96408166177097,0.121063067081816,0.00588
MAG,Grade,Grade + Infraorder + Ocean,margin,1e-04,2.94259977679053,0.162952194457237,0.000161538461538462
MAG,Infraorder,Grade + Infraorder + Ocean,margin,1e-04,5.12431336423733,0.0945896113560469,0.000161538461538462
MAG,Ocean,Grade + Infraorder + Ocean,margin,0.1569,1.27244122094858,0.0469759407779129,0.1569
MAG,Grade,Grade + Family + Ocean,margin,1e-04,3.70527038105105,0.172415635781523,0.000161538461538462
MAG,Family,Grade + Family + Ocean,margin,1e-04,4.21998428966968,0.196366580428887,0.000161538461538462
MAG,Ocean,Grade + Family + Ocean,margin,0.0598,1.49657881099563,0.0464264071909686,0.06657
MAG,Grade,Grade + Genus + Ocean,margin,0.0108,1.94438425968187,0.0603180899745907,0.0146322580645161
MAG,Genus,Grade + Genus + Ocean,margin,1e-04,4.21998428966968,0.196366580428888,0.000161538461538462
MAG,Ocean,Grade + Genus + Ocean,margin,0.0663,1.49657881099563,0.0464264071909686,0.0679170731707317
MAG,Grade,Grade + Diet_Group + Infraorder + Ocean,margin,1e-04,3.70527038105104,0.172415635781522,0.000161538461538462
MAG,Diet_group,Grade + Diet_Group + Infraorder + Ocean,margin,1e-04,3.28083228011236,0.10177696907284,0.000161538461538462
MAG,Infraorder,Grade + Diet_Group + Infraorder + Ocean,margin,1e-04,3.18780279463992,0.0494455185056381,0.000161538461538462
MAG,Ocean,Grade + Diet_Group + Infraorder + Ocean,margin,0.0588,1.49657881099563,0.0464264071909687,0.06657
